20200505T,1665.0,1665.0,1665.0,1665.0,0
20200506T,2332.0,2332.0,2332.0,2332.0,0
20200507T,3249.0,3249.0,3249.0,3249.0,0
20200508T,2587.0,2587.0,2587.0,2587.0,0
20200509T,2178.0,2178.0,2178.0,2178.0,0
20200510T,3143.0,3143.0,3143.0,3143.0,0
20200511T,2125.0,2125.0,2125.0,2125.0,0
20200512T,1916.0,1916.0,1916.0,1916.0,0
20200513T,2096.0,2096.0,2096.0,2096.0,0
20200514T,2758.0,2758.0,2758.0,2758.0,0
20200515T,2519.0,2519.0,2519.0,2519.0,0
20200516T,2091.0,2091.0,2091.0,2091.0,0
20200517T,2118.0,2118.0,2118.0,2118.0,0
20200518T,2936.0,2936.0,2936.0,2936.0,0
20200519T,1970.0,1970.0,1970.0,1970.0,0
20200520T,2496.0,2496.0,2496.0,2496.0,0
20200521T,2708.0,2708.0,2708.0,2708.0,0
20200522T,2333.0,2333.0,2333.0,2333.0,0
20200523T,2020.0,2020.0,2020.0,2020.0,0
20200524T,2241.0,2241.0,2241.0,2241.0,0
20200525T,2350.0,2350.0,2350.0,2350.0,0
20200526T,2218.0,2218.0,2218.0,2218.0,0
20200527T,1990.0,1990.0,1990.0,1990.0,0
20200528T,2627.0,2627.0,2627.0,2627.0,0
20200529T,2409.0,2409.0,2409.0,2409.0,0
20200530T,3528.0,3528.0,3528.0,3528.0,0
20200531T,2393.0,2393.0,2393.0,2393.0,0
20200601T,2804.0,2804.0,2804.0,2804.0,0
20200602T,2808.0,2808.0,2808.0,2808.0,0
20200603T,2152.0,2152.0,2152.0,2152.0,0
20200604T,2473.0,2473.0,2473.0,2473.0,0
20200605T,1639.0,1639.0,1639.0,1639.0,0
20200606T,1403.0,1403.0,1403.0,1403.0,0
20200607T,1589.0,1589.0,1589.0,1589.0,0
20200608T,1823.0,1823.0,1823.0,1823.0,0
20200609T,1759.0,1759.0,1759.0,1759.0,0
20200610T,2291.0,2291.0,2291.0,2291.0,0
20200611T,2390.0,2390.0,2390.0,2390.0,0
20200612T,1872.0,1872.0,1872.0,1872.0,0
20200613T,1312.0,1312.0,1312.0,1312.0,0
20200614T,1840.0,1840.0,1840.0,1840.0,0
20200615T,2544.0,2544.0,2544.0,2544.0,0
20200616T,2089.0,2089.0,2089.0,2089.0,0
20200617T,2346.0,2346.0,2346.0,2346.0,0
20200618T,2043.0,2043.0,2043.0,2043.0,0
20200619T,2051.0,2051.0,2051.0,2051.0,0
20200620T,1503.0,1503.0,1503.0,1503.0,0
20200621T,1496.0,1496.0,1496.0,1496.0,0
20200622T,2901.0,2901.0,2901.0,2901.0,0
20200623T,1835.0,1835.0,1835.0,1835.0,0
20200624T,2856.0,2856.0,2856.0,2856.0,0
20200625T,1942.0,1942.0,1942.0,1942.0,0
20200626T,1679.0,1679.0,1679.0,1679.0,0
20200627T,1972.0,1972.0,1972.0,1972.0,0
20200628T,1787.0,1787.0,1787.0,1787.0,0
20200629T,1745.0,1745.0,1745.0,1745.0,0
20200630T,1692.0,1692.0,1692.0,1692.0,0
20200701T,1947.0,1947.0,1947.0,1947.0,0
20200702T,1857.0,1857.0,1857.0,1857.0,0
20200703T,1590.0,1590.0,1590.0,1590.0,0
20200704T,1356.0,1356.0,1356.0,1356.0,0
20200705T,1327.0,1327.0,1327.0,1327.0,0
20200706T,2552.0,2552.0,2552.0,2552.0,0
20200707T,2440.0,2440.0,2440.0,2440.0,0
20200708T,3373.0,3373.0,3373.0,3373.0,0
20200709T,2496.0,2496.0,2496.0,2496.0,0
20200710T,2367.0,2367.0,2367.0,2367.0,0
20200711T,1928.0,1928.0,1928.0,1928.0,0
20200712T,2064.0,2064.0,2064.0,2064.0,0
20200713T,2252.0,2252.0,2252.0,2252.0,0
20200714T,2167.0,2167.0,2167.0,2167.0,0
20200715T,2460.0,2460.0,2460.0,2460.0,0
20200716T,2414.0,2414.0,2414.0,2414.0,0
20200717T,1873.0,1873.0,1873.0,1873.0,0
20200718T,2139.0,2139.0,2139.0,2139.0,0
20200719T,2195.0,2195.0,2195.0,2195.0,0
20200720T,2405.0,2405.0,2405.0,2405.0,0
20200721T,3070.0,3070.0,3070.0,3070.0,0
20200722T,4011.0,4011.0,4011.0,4011.0,0
20200723T,5568.0,5568.0,5568.0,5568.0,0
20200724T,4851.0,4851.0,4851.0,4851.0,0
20200725T,5931.0,5931.0,5931.0,5931.0,0
20200726T,5444.0,5444.0,5444.0,5444.0,0
20200727T,7086.0,7086.0,7086.0,7086.0,0
20200728T,4124.0,4124.0,4124.0,4124.0,0
20200729T,3200.0,3200.0,3200.0,3200.0,0
20200730T,4342.0,4342.0,4342.0,4342.0,0
20200731T,4601.0,4601.0,4601.0,4601.0,0
20200801T,5976.0,5976.0,5976.0,5976.0,0
20200802T,6856.0,6856.0,6856.0,6856.0,0
20200803T,4548.0,4548.0,4548.0,4548.0,0
20200804T,5040.0,5040.0,5040.0,5040.0,0
20200805T,4364.0,4364.0,4364.0,4364.0,0
20200806T,3791.0,3791.0,3791.0,3791.0,0
20200807T,4965.0,4965.0,4965.0,4965.0,0
20200808T,4096.0,4096.0,4096.0,4096.0,0
20200809T,4078.0,4078.0,4078.0,4078.0,0
20200810T,4181.0,4181.0,4181.0,4181.0,0
20200811T,4712.0,4712.0,4712.0,4712.0,0
20200812T,4280.0,4280.0,4280.0,4280.0,0
20200813T,6916.0,6916.0,6916.0,6916.0,0
20200814T,6173.0,6173.0,6173.0,6173.0,0
20200815T,4231.0,4231.0,4231.0,4231.0,0
